"time_s","down_neg","down_neu","up_neg","up_neu"
-1.9,0.998932302849361,0.999057987892836,0.997664017730653,0.998269116975606
-1.8,0.998973226789475,0.999108309996069,0.997740045496819,0.998446089196147
-1.7,0.999015517350393,0.99918234714105,0.997830572873034,0.998622599806714
-1.6,0.999065546075083,0.999275228501386,0.99793671596231,0.998801159473159
-1.5,0.999128704467278,0.999381034137451,0.998062479087255,0.998986008165119
-1.4,0.999208019931804,0.999493060876487,0.998215458758082,0.999180312628681
-1.3,0.999304779591916,0.99960473806858,0.998405434839242,0.999382954033795
-1.2,0.99941856635268,0.99971055518231,0.998642765847359,0.999588622710283
-1.1,0.999548755547635,0.999806800882454,0.998934984677898,0.999787597713043
-1,0.99969491894126,0.999892988370459,0.99928408321488,0.999969934395338
-0.9,0.999857760825861,0.999972926609683,0.999685848491631,1.00012910156765
-0.8,1.00003664941442,1.00005375420854,1.00012955757566,1.00026659601634
-0.7,1.00023096298188,1.00014528824259,1.00060038355445,1.00039287880952
-0.6,1.00043808207059,1.00025661737697,1.0010822049919,1.0005244928309
-0.5,1.00065355957724,1.00039339705886,1.00155992531831,1.00067971508845
-0.4,1.00087278960665,1.00055595489039,1.00202190937243,1.00087213182073
-0.3,1.00109129830534,1.00073888852326,1.00246061237461,1.00110576771735
-0.2,1.00130523458864,1.00093253751929,1.00287216399096,1.00137427411604
-0.1,1.00151243361274,1.00112632025529,1.00325612593591,1.00166347304709
0,1.00171089111975,1.00131126426604,1.00361470990661,1.00195717388806
0.1,1.00189952508447,1.00148256884757,1.0039512882045,1.00224228139008
0.2,1.00207608278409,1.00163938968731,1.00427022502162,1.00251426299566
0.3,1.00223898398906,1.00178445730035,1.00457569629865,1.00277723715975
0.4,1.00238673789114,1.00192194550077,1.00487049937693,1.00304156358108
0.5,1.00251955373165,1.00205618805587,1.00515559131086,1.00331993990542
0.6,1.00264023643711,1.00218999818419,1.00542936506804,1.00362304896787
0.7,1.00275346226899,1.00232467961836,1.00568766172932,1.0039567018482
0.8,1.00286559282901,1.00245962329474,1.00592576229349,1.0043216172381
0.9,1.00298314768603,1.00259318297811,1.00613914594189,1.00471435974463
1,1.00311112018155,1.00272339392942,1.00632621752147,1.0051300756928
1.1,1.00325237670353,1.0028489041251,1.00648850977485,1.00556382436566
1.2,1.00340652391794,1.00296964722854,1.00663222150228,1.00601156205904
1.3,1.0035707872895,1.00308760955806,1.0067657651676,1.0064702707291
1.4,1.00374007422137,1.00320641912413,1.00689911343696,1.00693653607101
1.5,1.00390869672161,1.00332984321564,1.00704086463622,1.00740648933234
1.6,1.00407099950457,1.00346074254388,1.00719673052825,1.00787527606197
1.7,1.00422288296088,1.00359939869572,1.00736898798117,1.0083376019788
1.8,1.00436338631354,1.00374238309095,1.00755711155452,1.00878988945197
1.9,1.00449458738438,1.0038826274565,1.00775915201426,1.00923004461606
2,1.00462186798055,1.00401225152013,1.00797390191991,1.00965931634211
2.1,1.00475275571674,1.00412323239877,1.00820093750942,1.01008123794323
2.2,1.00489519543626,1.00421165737309,1.00844276150956,1.01050039815004
2.3,1.00505506274985,1.0042782717589,1.00870249083417,1.0109216730186
2.4,1.00523572956705,1.0043279941815,1.0089829041089,1.01134768706992
2.5,1.00543557594894,1.00436876484536,1.00928545120296,1.01177851875739
2.6,1.00565018426149,1.00440842668269,1.00960689497737,1.01221083771153
2.7,1.00587266807446,1.00445139619171,1.00994167672205,1.01263872759423
2.8,1.00609508555568,1.00449621216672,1.01027965912902,1.01305359773912
2.9,1.00631005396573,1.00453492071715,1.01060949851659,1.01344578339105
3,1.0065098986611,1.004555022249,1.01091968678574,1.01380447907148
3.1,1.00668764079258,1.00454219933002,1.01120017743579,1.01411867307778
3.2,1.00683595930303,1.00448447424763,1.01144373609657,1.01437907498359
3.3,1.00694758921978,1.00437533327003,1.01164634124783,1.01457800675393
3.4,1.00701687360186,1.00421485290093,1.01180693610372,1.01471157209844
3.5,1.00704034556907,1.0040115540228,1.01192657540535,1.01478019564018
3.6,1.00701881252953,1.00377804296988,1.01200807383032,1.01478874568899
3.7,1.00695815226706,1.00353027538617,1.01205557863825,1.01474626604283
3.8,1.00686760748715,1.00328398722862,1.01207506228062,1.01466436412822
