"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-0.0111787363167946,0.044098825906052,392,-0.253492833133692,0.800020293354345
"StimulusAngry",-0.00524961142705669,0.0560446125216212,392,-0.0936684400312602,0.925420397195437
"StimulusHappy",-0.108108615351843,0.0560446125216215,392,-1.92897426688668,0.0544556713351515
"TreatmentOxazepam",0.0199001750937676,0.0607017870484023,34,0.327835078033198,0.745046653124137
"StimulusAngry:TreatmentOxazepam",0.070465446334424,0.0771450954668341,392,0.913414467997103,0.361586044304225
"StimulusHappy:TreatmentOxazepam",-0.103387484096248,0.0771450954668342,392,-1.34016924174649,0.180966588890992
