"Subject","event_no","instruction","valence","SCR_mean_instruction","SCR_mean_stimulus","log_SCR_mean_instruction","log_SCR_mean_stimulus"
48,11,"Downregulate","Negative",0.99951045492662,1.01449834315207,-0.000489664939691288,0.0143942471153891
48,11,"Upregulate","Neutral",0.999037299207011,0.999035153598206,-0.000963164487020252,-0.000965312165701666
48,11,"Upregulate","Negative",0.99344553488064,0.989395538312163,-0.00657603995185873,-0.0106610896871109
48,12,"Downregulate","Neutral",0.998212965309764,0.99349369789221,-0.00178863334157555,-0.00652756034988155
48,12,"Downregulate","Negative",0.995755837457153,0.989939255527054,-0.00425319456533207,-0.0101116957894645
48,12,"Upregulate","Neutral",0.997388660202341,1.00397962732116,-0.00261475529273678,0.00397172955086874
48,12,"Upregulate","Negative",1.07103222673117,1.07324472211231,0.0686228813314597,0.0706865104419665
48,13,"Downregulate","Neutral",1.00104892739926,1.03933495640921,0.00104837765931169,0.0385810436171965
48,13,"Downregulate","Negative",0.999897208240803,0.996930484473511,-0.00010279704263153,-0.00307423615176902
48,13,"Upregulate","Neutral",1.01277114347859,1.02431978171037,0.0126902801758404,0.0240287646924697
48,13,"Upregulate","Negative",0.998438801780366,0.996369655571116,-0.00156241815945137,-0.00363695012135885
48,14,"Downregulate","Neutral",0.997086502362778,1.0026829581992,-0.00291775013322999,0.00267936549147691
48,14,"Downregulate","Negative",1.01401726027923,1.12976277353689,0.0139199269957423,0.122007675761722
48,14,"Upregulate","Neutral",1.011880193083,1.0075551931681,0.0118101775754425,0.00752679563904982
48,14,"Upregulate","Negative",0.994161691105214,0.986761969357652,-0.00585541844656135,-0.0133264344315211
48,15,"Downregulate","Neutral",0.997840650520588,0.995391641797545,-0.00216168423614154,-0.00461900942080039
48,15,"Downregulate","Negative",0.999873603324239,0.998100867429462,-0.000126404664494304,-0.00190093820925847
48,15,"Upregulate","Neutral",0.996939605658215,0.993247244210958,-0.00306508692509766,-0.00677565880830922
48,15,"Upregulate","Negative",1.01409471772821,1.0055911058761,0.0139963107949258,0.00557553366061323
48,16,"Downregulate","Neutral",1.00024715716653,1.00872402873276,0.000247126628226044,0.00868619428075608
48,16,"Downregulate","Negative",0.9949595911209,0.989015970348734,-0.00505315458702577,-0.0110447995133273
48,16,"Upregulate","Neutral",0.989118685077793,0.978688976089495,-0.010940949425195,-0.0215413824438862
48,16,"Upregulate","Negative",0.991583887751308,1.07567764366265,-0.00845172769120597,0.0729508291801236
49,1,"Downregulate","Neutral",0.995644707790423,0.993122005018385,-0.00436480412284743,-0.00690175741035727
49,1,"Downregulate","Negative",0.996717717914493,0.971989437831601,-0.00328768058952997,-0.0284103410091323
49,1,"Upregulate","Neutral",0.99071705407215,0.976591801496106,-0.00932630098744054,-0.0236865223354362
49,1,"Upregulate","Negative",0.996395292611505,0.993670501040336,-0.00361122000159328,-0.00634961516680294
49,2,"Downregulate","Neutral",0.99829209676085,0.995394704864213,-0.00170936336863016,-0.00461593217780722
49,2,"Downregulate","Negative",0.997121409976261,0.993993280024341,-0.00288274113214169,-0.00602483288730819
49,2,"Upregulate","Neutral",1.00618080809784,1.01118122650897,0.00616178524762375,0.011119178681322
49,2,"Upregulate","Negative",0.998566694871483,0.998614020214449,-0.00143433329287879,-0.00138694114391871
49,3,"Downregulate","Neutral",0.998516836012741,0.996568112103596,-0.00148426496371919,-0.00343779033187108
49,3,"Downregulate","Negative",0.998925645812336,0.997357111630134,-0.00107493171981038,-0.00264638696495766
49,3,"Upregulate","Neutral",0.999201704766272,0.998301283792266,-0.00079861404104795,-0.00170016066215528
49,3,"Upregulate","Negative",0.999183690618248,0.997997850302589,-0.000816642743685287,-0.00200415667841521
49,4,"Downregulate","Neutral",0.992175631008834,0.982959144919561,-0.00785513998036624,-0.0171877213267962
49,4,"Downregulate","Negative",1.06090485543313,1.12257192940584,0.0591221811840211,0.115622418230117
49,4,"Upregulate","Neutral",0.997835560280873,1.03042195726383,-0.00216678550426117,0.0299683855972676
49,4,"Upregulate","Negative",0.994787731902833,0.987998359154438,-0.00522589935366582,-0.0120742420105084
49,5,"Downregulate","Neutral",0.998459146548683,0.996358656201367,-0.00154204178685408,-0.00364798962903699
49,5,"Downregulate","Negative",1.03292616938061,1.0359755660286,0.0323957155412467,0.0353435586446844
49,5,"Upregulate","Neutral",0.996847112494082,0.992927286320301,-0.00315786832780025,-0.00709784388168174
49,5,"Upregulate","Negative",0.998814862441847,0.997195222563348,-0.00118584038902467,-0.00280871819524538
49,6,"Downregulate","Neutral",1.00470968296187,1.08407281678508,0.00469862710453391,0.0807250749173517
49,6,"Downregulate","Negative",0.989860252534898,0.979137973569272,-0.0101915048730374,-0.0210827132160194
49,6,"Upregulate","Neutral",0.996685339756922,0.992755262691496,-0.00332016589896086,-0.0072711078601778
49,6,"Upregulate","Negative",0.99872788219819,0.99664881479174,-0.00127292763053208,-0.00335681300612294
49,7,"Downregulate","Neutral",1.00047049418613,1.00147481672211,0.000470383538445764,0.00147373024802715
49,7,"Downregulate","Negative",1.00178286141463,0.990727421641503,0.00178127400369854,-0.00931583632948007
49,7,"Upregulate","Neutral",1.00075898355713,1.05546836474829,0.000758695674761454,0.0539846160411517
