"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-0.0214238369820149,0.0360323046677553,1325,-0.59457304159583,0.55223041547519
"StimulusAngry",0.00965384047612419,0.0361442898714239,1325,0.267091717957824,0.789440108115845
"StimulusHappy",0.0843895557270797,0.0361442898714242,1325,2.33479634064683,0.0197027767377053
"TreatmentOxazepam",-0.0705824081417473,0.0473557259797191,36,-1.49047251797967,0.144810577674659
"StimulusAngry:TreatmentOxazepam",-0.036811932681395,0.0475222980062472,1325,-0.774624423182477,0.438699825734419
"StimulusHappy:TreatmentOxazepam",0.0336684424434735,0.0475029033714407,1325,0.708765992263862,0.478594383366108
