"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",20.1379816729323,1.98279362843156,2073,10.1563679568922,1.10133037499606e-23
"instruction1",10.1660009398494,0.818700649396278,2073,12.417238153342,3.35647937705106e-34
"valence1",28.7942904135335,0.818700649396281,2073,35.1707189126658,6.50463038485828e-213
"Treatment1",-1.21510808270677,3.96558725686312,31,-0.306413149932289,0.761338706541201
"instruction1:valence1",12.0223214285714,1.63740129879257,2073,7.34231824381521,3.00068959010457e-13
"instruction1:Treatment1",2.17128759398499,1.63740129879257,2073,1.3260570854476,0.184966876814987
"valence1:Treatment1",-6.07213345864665,1.63740129879258,2073,-3.70839663015063,0.000214056709190201
"instruction1:valence1:Treatment1",-2.66964285714289,3.27480259758516,2073,-0.815207261381642,0.415047329615429
