"time_s","AngryWave1","HappyWave1","NeutralWave1","AngryWave2","HappyWave2","NeutralWave2"
-1.9,1.02194469377932,1.03731588398669,1.0314748353568,1.00885648815806,1.02201643622634,1.01468443453826
-1.8,1.01057740100253,1.02140206844176,1.02022326757466,1.00786585751504,1.00650056634233,1.02814319208347
-1.7,1.00944980349076,1.00128478653086,1.01794620228904,1.02920142431089,1.0207366063111,0.998360203161201
-1.6,1.00851911309093,1.01967528490848,1.0161305176915,1.00903178650203,1.00721412833685,1.00806203082012
-1.5,1.00522298146341,1.01715356790503,1.04910376088576,1.0037973601281,1.00496116300588,1.01371291595264
-1.4,1.00617941738495,0.978453532324735,1.00666146697416,1.02264916442163,0.993052311144221,1.01482413111411
-1.3,0.983481517912171,1.00023184662793,1.01327395910693,0.991878293857887,0.987127133838079,1.00533139610551
-1.2,0.988694088457926,0.984525989181779,1.01272850824176,1.01547797574694,0.974730041337503,1.00360171416541
-1.1,1.01098865843184,1.00220863243461,0.967721259869113,0.985737285413009,0.995274693809706,1.00086975820377
-1,0.986419037403483,0.996254788874562,1.00003711143424,0.992590807333918,0.981877261011833,1.01419213674935
-0.9,1.0044323331623,0.996846963326292,0.997696650509437,0.986339168915921,0.980971827462327,0.988057006732181
-0.8,0.987050927115879,0.961073260115441,0.983892636782028,1.00324397403123,0.983750767723582,1.00327257978161
-0.7,1.01052072750802,0.997777465514562,0.990670274697168,0.993200313178637,1.00906709777401,1.00719430904771
-0.6,1.01626292355381,0.988127730455665,0.988584171764419,0.98736534336414,0.999024383625322,0.985236848176242
-0.5,0.974127554394087,1.00651576124172,0.961182486576609,0.982440939659872,0.995264078474935,0.983970326591127
-0.4,0.997719760281096,0.968921078528451,0.99083394829352,1.00165547055091,1.01230646549287,0.996715326724245
-0.3,0.963174253724264,0.981661402943231,0.993078372787512,1.01872313722668,1.00753131584612,0.99104327289343
-0.2,1.0095944298324,0.99623462037636,0.983021808850622,0.982491574236244,1.01442469141195,0.980409396961098
-0.1,1.00616683009975,1.00516712281574,0.983103882737084,0.982387115634584,0.995468967766682,0.989677174971304
0,0.999473547911078,1.03916821346611,0.992634877577626,0.995066519814274,1.00870006305836,0.972641845227231
0.1,0.98034202826914,1.07267484812856,1.02297460908166,0.985785531744641,1.01402864088173,0.968690153354069
0.2,1.02917516903585,1.0204797372667,0.993287723776944,0.993301241873255,1.00451318010726,0.968426768673584
0.3,0.99189512753809,0.999591617879165,1.01204863906013,0.981765211480237,1.01767967921882,0.977114177818299
0.4,0.961143642615862,0.974064320887741,1.02311613659147,0.995548140676742,1.01700695357823,0.980981192980056
0.5,0.981777749722055,0.989475516907823,0.972181865037331,0.983524731844149,1.01608647270861,0.982858794195024
