"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-0.113078918474462,0.051117683190146,392,-2.21212917756531,0.0275336850592659
"StimulusAngry",0.106901510173526,0.0622117357522801,392,1.71834958277319,0.0865224686455505
"StimulusHappy",0.25762709171453,0.0622117357522804,392,4.14113331832389,4.23478017782596e-05
"TreatmentOxazepam",0.0620621051678435,0.0703632048169812,34,0.882024992029153,0.383956719433181
"StimulusAngry:TreatmentOxazepam",-0.139877182549132,0.0856341060778248,392,-1.63342841953661,0.103181801089931
"StimulusHappy:TreatmentOxazepam",-0.0454574877083995,0.085634106077825,392,-0.530833914084271,0.595834485574465
