"time_s","down_neg","down_neu","up_neg","up_neu"
-1.9,1.01603718324044,1.02727095932793,1.03738921350612,0.994696167715241
-1.8,1.05091931941779,1.00807432062137,1.02980648837091,0.987888539950255
-1.7,1.01540702117557,0.9846937288974,1.03397719260062,0.977989335605857
-1.6,0.979808581081872,0.996488305487355,1.02215311946779,0.98764998520441
-1.5,0.978287477942457,0.995993318099677,1.03133763698438,0.990157597796469
-1.4,0.983996025254371,1.00202953659131,0.996967946897539,1.01929064826104
-1.3,0.994387458830748,0.98164948348543,0.973850143050126,1.00459161018169
-1.2,1.00160400733224,0.983202840506122,0.969318395817725,0.989240612196039
-1.1,0.990958035456899,0.98173175510112,1.01302540143698,0.981900383449444
-1,0.975536196649355,0.997306628719273,0.996879091585344,1.00320621720938
-0.9,0.969240977675223,0.987069019326527,0.975755782776474,1.00025124319576
-0.8,0.992729108663753,0.988499306966602,0.986754008586184,0.982933055065821
-0.7,1.0353991873739,1.0016191280568,0.966494637933651,0.990352689526255
-0.6,1.01147687651917,1.00380712397054,0.989783456714024,0.980773436270098
-0.5,0.995045276619386,0.990638524093709,0.985273412361342,1.002685514562
-0.4,1.00356661451164,1.00548842990956,0.978693156383572,1.02102784502119
-0.3,0.996792818919805,1.01098112104413,1.01035170598496,1.03634091390809
-0.2,0.996938648094217,1.01190074740977,0.976529545389677,1.02129805160814
-0.1,1.0001816950307,1.01359222522542,1.02091755218409,1.01683947897804
0,1.01168749021047,1.02796349715996,1.00474211196849,1.01088667429477
0.1,0.998175084183512,1.04825065605379,1.03513101280749,1.03702238773939
0.2,1.0626139027684,1.09968435185455,1.05403701392503,1.08385140800682
0.3,1.0774545602102,1.08268217724551,1.07705869948286,1.0697008642515
0.4,1.06756468301939,1.0697381158887,1.08594567685162,1.08942240938589
0.5,1.08124433950393,1.12423416185271,1.10231881091541,1.06734302230532
0.6,1.06363251633703,1.10536701388508,1.1068630726333,1.05616630576977
0.7,1.03502993165211,1.09590626238344,1.10335077813247,1.06318272883877
0.8,1.04136587448596,1.09895070597156,1.09096404092346,1.1452931667021
0.9,1.05620595928522,1.14422650196921,1.09595313033272,1.13123575173531
1,1.06752324162818,1.10925293616914,1.11570837659103,1.1078415073075
1.1,1.12855192356316,1.13436236582841,1.13487970523506,1.14859333209288
1.2,1.08347984971091,1.10949400391439,1.13180522363612,1.11456196837265
1.3,1.06094262511062,1.14715906417677,1.13828239866341,1.13901806087497
1.4,1.0863511787135,1.16102130219204,1.1492885489331,1.1229998301176
1.5,1.05190128242929,1.13275712349266,1.14961628778154,1.16025776735
1.6,1.07240804871982,1.14057830322993,1.15971229036846,1.17118802288114
1.7,1.05184260657939,1.15179314430835,1.12436183686564,1.16442381813802
1.8,1.0852929466005,1.14182455696393,1.27903561665009,1.17017129302494
1.9,1.08577048133828,1.11711773881416,1.2794347300078,1.18304725934957
2,1.09725308957273,1.10622152866292,1.2465445091896,1.17632708956002
2.1,1.06154442997381,1.10864620106047,1.20874554158693,1.15129279594924
2.2,1.14405611335906,1.23419511859596,1.24263639502116,1.2281738577822
2.3,1.14186192437305,1.16320159545967,1.221936386753,1.17398220890826
2.4,1.13750681142598,1.15042292340496,1.23599651570455,1.14815723967194
2.5,1.1299487584062,1.15378607545752,1.21478196184882,1.14120454833222
2.6,1.13936472534019,1.1496007034764,1.23555787973694,1.15320813652709
2.7,1.1286007421169,1.15256244850724,1.26994429059262,1.15253455517907
2.8,1.15525344334924,1.12997545998594,1.26819035295134,1.14059679363507
2.9,1.15496588297398,1.15155765422337,1.32138066207325,1.12824441156313
3,1.20223561584474,1.20245115034638,1.35365605131548,1.11759556024606
3.1,1.16641259909126,1.16328295886017,1.31897275008783,1.21588306059888
3.2,1.17210432812014,1.16582623666971,1.37083806216857,1.19310664276633
3.3,1.1521792931466,1.11497207605159,1.34126952055336,1.13256770258386
3.4,1.16655693593609,1.10148945110045,1.37668063866264,1.11697479953569
