"time_s","down_neg","down_neu","up_neg","up_neu","down_neg_rel","down_neu_rel","up_neg_rel","up_neu_rel"
-1.9,0.993032837800567,0.994198206554409,1.00058082694298,0.995053226998041,-0.563500282708869,-0.497511534898645,-0.00256458346119907,-0.473815923699341
-1.8,0.995250265279916,0.995996722354291,1.00115883966415,0.995628731333545,-0.38827485140992,-0.318904520908489,0.0276811666858613,-0.43037084591225
-1.7,0.995385502451404,0.995636675192272,0.999190630976028,0.997762227313412,-0.370909683391727,-0.330810749168063,-0.121099889835199,-0.253188292611822
-1.6,0.996999093904536,0.998456709637721,0.995992297368584,0.996149716899385,-0.175407978357919,-0.027008925167561,-0.332148976977278,-0.372878190711591
-1.5,0.996888934758531,0.999559834583678,0.994663561860487,0.99625218210904,-0.169011743657309,0.0856197710687915,-0.464471850271887,-0.34095709273007
-1.4,0.99786079880848,1.00056164423049,0.995224667319944,0.994712888809898,-0.0526198499620352,0.157711096365397,-0.378750604523983,-0.465872982934651
-1.3,0.998603486584056,1.00122934377421,0.996768298829532,0.993962242286168,0.00391189725173109,0.194619716117924,-0.24660045731943,-0.515733026429304
-1.2,0.999986205402375,0.999892424738467,0.996747036969473,0.991701858026886,0.169389478356559,0.103435328126496,-0.241368480391677,-0.67637516987792
-1.1,1.00015905231981,0.999693295090205,0.998990853425377,0.990662915877555,0.166529544525781,0.0262239192091438,0.0159866433387461,-0.768426621570521
-1,0.996102568762218,0.998419276713072,0.999271398732123,0.992484719628663,-0.206607365874337,-0.0933769117536822,0.0300870230660158,-0.598269558233662
-0.9,0.998923017535986,0.999308339903989,1.00114278097423,0.994872826427912,0.0133298505801284,0.0157381159999275,0.135543401613378,-0.449158170604876
-0.8,0.999643730657409,0.999699680118849,1.00194247293903,0.998419909998268,0.0166209272673357,0.00837711380887646,0.223480063649718,-0.159064111100509
-0.7,1.00225426270223,1.00009393132255,1.00460219630819,1.00243519210794,0.174180190658601,0.00908064934174673,0.411150102453316,0.212110108892712
-0.6,1.00396763953787,1.00133820675749,1.0042429291412,1.00470243303337,0.29832561912602,0.0953481677077577,0.370841645028082,0.438898753390146
-0.5,1.00325729153802,1.00260168670833,1.00438051014252,1.00561499166331,0.220472462525539,0.166340599397661,0.370952738935908,0.484400073406601
-0.4,1.00425860844526,1.00329543616245,1.00373679163227,1.0097796970507,0.262566089222433,0.195653319347296,0.297931441029519,0.834924983479146
-0.3,1.00324241252752,1.00595554747766,1.00290502057374,1.01030968808563,0.133189438418746,0.383909336077067,0.241099169171813,0.914220801136426
-0.2,1.00283949319128,1.00196524042638,1.00202710609055,1.00960408827668,0.0272136542590694,0.0053881929457949,0.156142536254507,0.866110927713993
-0.1,1.00432123056486,1.00189681216163,0.999509553525488,1.0096347607162,0.133652141606947,0.000942288786135702,-0.144888318728345,0.857469061467182
0,1.00702356722767,1.00020098609185,0.996922226584104,1.01025570335738,0.306950461563226,-0.180774972403576,-0.349002769717868,0.895975276930317
0.1,1.00712121839818,1.00166860374446,0.99887701055162,1.00933203927446,0.299743334553382,-0.060204270021091,-0.221487519388484,0.817726132298452
0.2,1.00827591851058,0.998070636700875,0.997595418296912,1.00610404336474,0.369235994329813,-0.384161776304484,-0.368800100207626,0.423951702913279
0.3,1.00133924496331,0.998950663569708,0.998155200101768,1.00587180451868,-0.324451153834693,-0.405997660220736,-0.3438004840067,0.41006887209862
0.4,1.00296464257943,0.997819883399789,0.997298563206217,1.00405817977089,-0.208673559702232,-0.522673406393542,-0.391999851402749,0.145875949704722
0.5,1.00313248762392,0.998304532610585,0.998709302908167,1.0019927415035,-0.210553904746084,-0.469923414017492,-0.335976951944411,-0.0691653424866175
0.6,1.00376860961542,0.999160052423377,0.999640400345705,1.00029572729917,-0.168923046595111,-0.405282220333749,-0.280753258501389,-0.258735919898448
0.7,1.00231602336699,1.00121725682556,1.0022129760523,0.995798159140235,-0.324990215914168,-0.274185130454938,-0.0962873730453368,-0.619253074658359
0.8,1.000618804263,1.00091796643133,1.00185301647639,0.998260592981611,-0.406705110139856,-0.324679712128937,-0.141505082708886,-0.533647289127446
0.9,0.996847957939899,1.00179682033517,1.00114733815978,0.995505762021318,-0.656232396183213,-0.256009430714696,-0.265547552355221,-0.750179795093484
1,0.998709143292163,1.00296667062514,0.999362062953805,0.994246228040412,-0.492928174510949,-0.163839794339662,-0.398788316154117,-0.829417453346865
1.1,0.998283257792622,1.00024000111008,0.998368018897298,0.993387766413427,-0.537304421793434,-0.370744144518464,-0.466912032282383,-0.887961884217065
1.2,0.999543101948125,0.994970664354601,0.995945463695318,0.992036429448703,-0.469307688992568,-0.784150261276759,-0.675092913945955,-1.0362218251169
1.3,0.996688295194648,0.993771348836914,0.994918215487107,0.988940377757818,-0.660845406202989,-0.884999878970545,-0.762181319933032,-1.2399566691243
1.4,0.9932378418044,0.995335045560776,0.993218575121217,0.986062504289908,-0.923571152553053,-0.804007226470262,-0.894706876757857,-1.43229390083085
1.5,0.993483472376594,0.994194294938188,0.991429713746328,0.98582506276814,-0.910258071609004,-0.909484378613807,-1.02332475727518,-1.41565643486905
1.6,0.992409374847894,0.994870773878459,0.991451787566062,0.984895585364612,-0.993479031018541,-0.852042023823935,-1.04613306469449,-1.48580711054447
1.7,0.98935275325763,0.990664085381711,0.988958966824766,0.985222257888596,-1.20841313232173,-1.14542809924617,-1.2287309865702,-1.47335654032603
1.8,0.987583279190877,0.989803531235775,0.991623982339861,0.990353065254305,-1.35577963466999,-1.20335406304881,-1.01561061457621,-1.02118068266121
