"Subject","r","z"
9,0.00811039093381193,0.0081105687704547
10,0.00425724572331908,0.00425727144323947
11,-0.0488269169388896,-0.048865774764973
12,0.017351675644984,0.0173534173775499
14,-0.0203079264450144,-0.0203107188793778
15,-0.00206356695701349,-0.00206356988612258
16,0.0807789061259385,0.0809552975987775
17,0.0664747793821738,0.0665729548623684
18,0.605210739771803,0.701329112431679
19,-0.0250192845934724,-0.0250245069505232
20,0.000461992508244437,0.000461992541113267
21,0.0582399396812363,0.0583059218501051
22,0.025638594928514,0.0256442148822624
23,0.0398330604095026,0.0398541478316389
24,0.0567138119898443,0.0567747354435631
25,0.189569335954558,0.191890413832252
27,0.0328772911329201,0.0328891446878147
28,-0.0319711175581966,-0.0319820173614661
29,0.0960631804515731,0.0963603220870927
30,0.0123664865191707,0.0123671169792366
31,-0.0276836304836219,-0.0276907058289514
32,-0.0330781487835158,-0.033090221015631
33,-0.0265193413683221,-0.0265255607936397
34,0.112922605125115,0.113406289265015
35,0.0553326869546019,0.0553892617313115
37,0.703313649295344,0.873827657864682
38,0.262733519768176,0.269042354549145
39,0.157098955996861,0.158410843018025
40,0.120669197398982,0.121260058471808
41,0.149685989148609,0.15081921268117
42,0.040039612181902,0.0400610295627182
43,0.0629985525633499,0.0630820948474775
44,0.0331995339056787,0.03321173958755
45,-0.0188671589343236,-0.0188693981248089
46,0.492561475125696,0.539436731728168
47,0.0230277470303629,0.0230318186884664
48,0.318662568274069,0.330157809098346
49,0.0423443090655515,0.0423696446816579
50,-0.0592050654106767,-0.0592743872462728
51,0.273226874699824,0.280347722044708
52,0.026039100971176,0.0260449885052275
53,-0.0295450913467616,-0.0295536926111903
54,0.125444803376367,0.12610910344268
55,1.22998768821392e-05,1.22998768827743e-05
56,-0.0147376926083843,-0.0147387597543563
57,0.051360885179342,0.051406119115778
58,-0.0313911405627989,-0.0314014576454614
59,0.242085270245941,0.24698801507148
60,0.21885625092986,0.222454504075416
61,0.0728510320300957,0.072980324095356
62,0.0811103150497703,0.0812888922478863
63,0.0134214076578815,0.0134222136297632
64,0.0576834850322163,0.0577475914419225
65,0.0162664020714447,0.0162678369733399
66,0.270714337842838,0.277634491001559
67,-0.0168628160507126,-0.0168644146630402
68,0.0416841520141172,0.0417083202390611
69,0.259053269954648,0.265093305518523
71,-0.0543902206294373,-0.0544439501562969
72,0.0869801727363784,0.0872005248171006
73,0.0559698479825107,0.0560284022398977
74,0.111583373254153,0.112049966519419
75,0.161392079664072,0.162815676932455
76,0.0798653217614002,0.0800357807752753
77,0.0140518488602341,0.014052773836547
78,0.0590443331559584,0.0591130911435666
79,0.249900257445884,0.255306422654613
80,0.249983285411273,0.255394983067818
81,-0.166217305651316,-0.167773953978246
82,-0.188252384269092,-0.190524724124011
83,-0.0745273308086149,-0.0746657754388535
84,-0.139999823137565,-0.140925395672258
85,0.0767342026518249,0.0768853441653157
86,0.0765316054199922,0.076681550131523
