"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.0353815793102222,0.0401896757498708,1123,0.880364886007718,0.378850030964144
"StimulusHappy",0.0946099879729705,0.0333000081085341,1123,2.84114008815283,0.00457649795122387
"TreatmentOxazepam",-0.0926410075163135,0.0439613656509415,71,-2.10732778985744,0.0386221779612622
"Wave2",-0.0663204810917908,0.0388698401931509,71,-1.70621954611166,0.0923381607148943
"StimulusHappy:TreatmentOxazepam",0.0729091477658262,0.0442510333824536,1123,1.64762587882831,0.0997092103870172
