"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.00776529061211553,0.00145157622386624,2041,5.34955759431831,9.80536995653508e-08
"instruction1",0.00706250635992461,0.00215983619440646,2041,3.26992684825593,0.00109364986060965
"valence1",0.000604238817052855,0.00215983619440647,2041,0.279761409044681,0.779688909307956
"Treatment1",-0.0010872264546582,0.00290315244773248,31,-0.374498574991259,0.71058309536974
"instruction1:valence1",-0.0058270189452653,0.00431967238881287,2041,-1.34894927688409,0.17750289656899
"instruction1:Treatment1",0.00234892165948695,0.0043196723888129,2041,0.543773103157128,0.58665700982664
"valence1:Treatment1",0.00191589284785274,0.00431967238881294,2041,0.443527350086665,0.657431352258755
"instruction1:valence1:Treatment1",0.00229938077696443,0.00863934477762578,2041,0.266152218269999,0.790148863587381
