"Subject","event_no","Stimulus","EMG_zyg_mean"
52,7,"Angry",-1.57887732972527
52,7,"Happy",-0.176585594547056
52,7,"Neutral",0.2917514559682
52,8,"Angry",0.0564035510982569
52,8,"Happy",-0.00634551758365448
52,8,"Neutral",0.0815740792761003
52,9,"Angry",0.739734655216619
52,9,"Happy",-1.06153608455699
52,9,"Neutral",0.0241405000083611
52,10,"Angry",0.0636182992336947
52,10,"Happy",-0.0517197848645896
52,10,"Neutral",-0.757877302578647
52,11,"Angry",0.857051417390143
52,11,"Happy",-0.247245629264753
52,11,"Neutral",0.045398442799628
52,12,"Angry",-0.214218227850553
52,12,"Happy",-0.324879472092496
52,12,"Neutral",-1.37113918477698
53,1,"Angry",-0.267063921673996
53,1,"Happy",-0.714657832460092
53,1,"Neutral",-0.141921354893419
53,2,"Angry",-0.121460418146503
53,2,"Happy",0.0665934218918088
53,2,"Neutral",-0.177848465399194
53,3,"Angry",-0.0237252160398654
53,3,"Happy",0.400206779872741
53,3,"Neutral",0.118385842092513
53,4,"Angry",-0.488446364040578
53,4,"Happy",-0.814234315748948
53,4,"Neutral",0.0659133304206588
53,5,"Angry",0.0670554315887982
53,5,"Happy",-0.0317164672332112
53,5,"Neutral",-0.199585215826391
53,6,"Angry",-0.115057646906221
53,6,"Happy",-0.0287550251615225
53,6,"Neutral",0.180655675746104
53,7,"Angry",0.00086830724677638
53,7,"Happy",-0.411078285681073
53,7,"Neutral",-0.414618139358295
53,8,"Angry",-0.576490009013708
53,8,"Happy",-0.0562588822893171
53,8,"Neutral",-0.0651922301658393
53,9,"Angry",-0.678989577978597
53,9,"Happy",-0.142541103148797
53,9,"Neutral",-0.029036553567223
53,10,"Angry",-0.00238159057685103
53,10,"Happy",-0.0872674802426965
53,10,"Neutral",0.181341224285372
53,11,"Angry",0.142792108128468
53,11,"Happy",-0.143130814938482
53,11,"Neutral",0.0100152220864148
53,12,"Angry",-0.206829607049664
53,12,"Happy",-0.0324611931673
53,12,"Neutral",0.0422699003960608
54,1,"Angry",0.0110400044285318
54,1,"Happy",-0.0688200520279681
54,1,"Neutral",-0.0045684174652071
54,2,"Angry",1.99921031904359
54,2,"Happy",-0.00670396579928176
54,2,"Neutral",-0.0171862894074832
54,3,"Angry",-0.0306133763037245
54,3,"Happy",0.0022405694078489
54,3,"Neutral",-2.58689191669155
54,4,"Angry",-0.017101162116756
54,4,"Happy",0.229753549199968
54,4,"Neutral",0.0313826156047172
54,5,"Angry",-0.00640021670768955
54,5,"Happy",0.0622853050402718
54,5,"Neutral",0.00512187923934064
54,6,"Angry",-0.017597014943612
54,6,"Happy",0.101269042762867
54,6,"Neutral",0.0427746386810347
54,7,"Angry",0.00310983956943033
54,7,"Happy",0.101064537766818
54,7,"Neutral",0.0555061146896184
54,8,"Angry",-0.0574498670905433
54,8,"Happy",-0.0760208650928146
54,8,"Neutral",-0.0301266505561087
54,9,"Angry",-0.00636790222958361
54,9,"Happy",-0.0263785553345607
54,9,"Neutral",0.0286773648145111
54,10,"Angry",-0.0267730092212327
54,10,"Happy",0.0285146530328222
54,10,"Neutral",0.0155954884372764
54,11,"Angry",-0.041185561846431
54,11,"Happy",0.120332492081177
54,11,"Neutral",-0.0687749072384053
54,12,"Angry",0.0602305526218753
54,12,"Happy",0.120211938123098
54,12,"Neutral",0.0308998853730536
55,1,"Angry",-0.285632038831062
55,1,"Happy",0.0428636914425136
55,1,"Neutral",0.0241669275168842
55,2,"Angry",-0.654972127780883
55,2,"Happy",-0.0343631926726479
55,2,"Neutral",-0.0616031796568682
55,3,"Angry",-0.0237149034685277
55,3,"Happy",-0.0598287998305794
55,3,"Neutral",0.000762045722945873
55,4,"Angry",-0.20273152433068
55,4,"Happy",0.073211865365605
55,4,"Neutral",-0.000860474565670855
55,5,"Angry",0.0813117293434889
55,5,"Happy",-0.242159837952298
55,5,"Neutral",-0.169517344150221
55,6,"Angry",-0.276022654716652
55,6,"Happy",0.0761636394623641
55,6,"Neutral",0.023265010730156
55,7,"Angry",-0.111024429263016
55,7,"Happy",-0.0816286880046435
55,7,"Neutral",-0.0549307366824613
55,8,"Angry",-0.386592405648924
55,8,"Happy",-0.972479498384407
55,8,"Neutral",0.0782964150534086
55,9,"Angry",-0.134701798945524
55,9,"Happy",-0.197869944717926
55,9,"Neutral",0.230892685829252
55,10,"Angry",0.0232878551044925
55,10,"Happy",-0.249418049343565
55,10,"Neutral",-0.514930746439931
55,11,"Angry",0.00560494623689136
55,11,"Happy",1.00126645816154
55,11,"Neutral",-0.022469105783595
55,12,"Angry",-1.04751663862824
55,12,"Happy",0.041802924057025
55,12,"Neutral",-0.380762326935814
56,1,"Angry",0.0214061263915706
56,1,"Happy",-0.278766702252653
56,1,"Neutral",-0.0084987430444629
56,2,"Angry",0.0100063882566615
56,2,"Happy",-0.0776018730166864
56,2,"Neutral",-0.00286281585470101
56,3,"Angry",-0.0405680567427066
56,3,"Happy",0.0146480497499348
56,3,"Neutral",-0.0708543280720213
56,4,"Angry",-0.0433776891221341
56,4,"Happy",-0.0557657597445341
56,4,"Neutral",0.00532504848461018
56,5,"Angry",-0.0299987282546711
56,5,"Happy",0.0105943722634224
56,5,"Neutral",-0.0282860136932683
56,6,"Angry",-0.0139918310581807
56,6,"Happy",-0.0542102427669441
56,6,"Neutral",-0.0393212725254724
56,7,"Angry",0.0266751862342364
56,7,"Happy",-0.0681465154086971
56,7,"Neutral",-0.0230456960336168
56,8,"Angry",-0.0481168916446105
56,8,"Happy",-0.0390943755441618
56,8,"Neutral",-0.0532650604275206
56,9,"Angry",-0.127187897118535
56,9,"Happy",-0.0171855770271575
56,9,"Neutral",0.0519082092856746
56,10,"Angry",-0.243012061994899
56,10,"Happy",-0.948767875923995
